codigo ccn,codigo cnh,nombre,comunidad autonoma,provincia,municipio,direccion,codigo postal,telefono,naºmero de camas instaladas,tipo de centro,dependencia funcional,observaciones,concierto,acreditacion docente,direccion_completa,latitud,longitud,servicios
222000004,220020,CENTRO DE REHABILITACION PSICOSOCIAL SANTO CRISTO DE LOS MILAGROS,AragÃ³n,Huesca,Huesca,"CARRETERA ARGUIS KM 2,5",22006,974220772,107,Hospitales de salud mental y tratamiento de toxicomanÃ­as,Servicios e Institutos de Salud de Las Comunidades AutÃ³nomas,,Sin concierto,NO,"CENTRO DE REHABILITACION PSICOSOCIAL SANTO CRISTO DE LOS MILAGROS, Huesca, Huesca, España",42.1511466,-0.4142257,
222000005,220089,HOSPITAL DE JACA SALUD,AragÃ³n,Huesca,Jaca,CARRETERA RAPITAN S/N,22700,974355331,46,Hospitales Generales,Servicios e Institutos de Salud de Las Comunidades AutÃ³nomas,,Sin concierto,NO,"HOSPITAL DE JACA SALUD, Jaca, Huesca, España",42.5824094,-0.5367694,
222000006,220041,HOSPITAL VIAMED SANTIAGO,AragÃ³n,Huesca,Huesca,CALLE SARIÃENA 12,22004,974220600,26,Hospitales Generales,Privados,,Sin concierto,NO,"HOSPITAL VIAMED SANTIAGO, Huesca, Huesca, España",42.141452,-0.4169992,
222000030,220105,CENTRO SANITARIO BAJO CINCA-BAIX CINCA,AragÃ³n,Huesca,Fraga,CALLE HERMANA ANDRESA 2,22520,974474545,20,Otros Centros con Internamiento,Servicios e Institutos de Salud de Las Comunidades AutÃ³nomas,,Sin concierto,NO,"CENTRO SANITARIO BAJO CINCA-BAIX CINCA, Fraga, Huesca, España",41.5243122,0.3405653,
244000001,440048,HOSPITAL DE ALCAÃIZ,AragÃ³n,Teruel,AlcaÃ±iz,CALLE DOCTOR REPOLLES 2,44600,978830100,145,Hospitales Generales,Servicios e Institutos de Salud de Las Comunidades AutÃ³nomas,,Sin concierto,NO,"HOSPITAL DE ALCAÃIZ, AlcaÃ±iz, Teruel, España",,,
244000002,440012,HOSPITAL OBISPO POLANCO,AragÃ³n,Teruel,Teruel,AVENIDA RUIZ JARABO S/N,44002,978654000,215,Hospitales Generales,Servicios e Institutos de Salud de Las Comunidades AutÃ³nomas,,Sin concierto,SI,"HOSPITAL OBISPO POLANCO, Teruel, Teruel, España",40.3330649,-1.1072329,
244000003,440027,HOSPITAL DE SAN JOSE,AragÃ³n,Teruel,Teruel,AVENIDA ZARAGOZA 16,44001,978654070,50,Hospitales de media y larga estancia,Servicios e Institutos de Salud de Las Comunidades AutÃ³nomas,,Sin concierto,SI,"HOSPITAL DE SAN JOSE, Teruel, Teruel, España",40.357809,-1.0970077,
244000004,440033,CENTRO DE REHABILITACION PSICOSOCIAL SAN JUAN DE DIOS,AragÃ³n,Teruel,Teruel,AVENIDA ZARAGOZA 10-14,44001,978654040,150,Hospitales de salud mental y tratamiento de toxicomanÃ­as,Servicios e Institutos de Salud de Las Comunidades AutÃ³nomas,,Red de utilizaciÃ³n pÃºblica (RUP),SI,"CENTRO DE REHABILITACION PSICOSOCIAL SAN JUAN DE DIOS, Teruel, Teruel, España",40.357809,-1.0970077,
250000001,500114,HOSPITAL SAN JUAN DE DIOS,AragÃ³n,Zaragoza,Zaragoza,PASEO COLON 14,50006,976271660,188,Hospitales de media y larga estancia,Organizaciones No Gubernamentales,,Red de utilizaciÃ³n pÃºblica (RUP),SI,"HOSPITAL SAN JUAN DE DIOS, Zaragoza, Zaragoza, España",41.6341871,-0.8880231,
250000034,500068,CENTRO DE REHABILITACION PSICOSOCIAL NUESTRA SEÃORA DEL PILAR,AragÃ³n,Zaragoza,Zaragoza,CALLE DUQUESA VILLAHERMOSA 66-68,50009,976331500,191,Hospitales de salud mental y tratamiento de toxicomanÃ­as,Servicios e Institutos de Salud de Las Comunidades AutÃ³nomas,,Sin concierto,SI,"CENTRO DE REHABILITACION PSICOSOCIAL NUESTRA SEÃORA DEL PILAR, Zaragoza, Zaragoza, España",41.6300742,-0.9045935,
250000035,500093,"CLINICA MONTPELLIER, GRUPO HLA,  S.A.U",AragÃ³n,Zaragoza,Zaragoza,VIA HISPANIDAD 37,50012,976765300,89,Hospitales Generales,Privados,,Sin concierto,NO,"CLINICA MONTPELLIER, GRUPO HLA,  S.A.U, Zaragoza, Zaragoza, España",41.6300742,-0.9045935,
250000067,500188,UNIDAD REHABILITADORA DE MEDIA ESTANCIA PROFESOR REY ARDID,AragÃ³n,Zaragoza,Zaragoza,CALLE CAMINO VIEJO DE LA ALFOCEA 10,50191,976731000,39,Hospitales de salud mental y tratamiento de toxicomanÃ­as,Organizaciones No Gubernamentales,,Red de utilizaciÃ³n pÃºblica (RUP),NO,"UNIDAD REHABILITADORA DE MEDIA ESTANCIA PROFESOR REY ARDID, Zaragoza, Zaragoza, España",41.6300742,-0.9045935,
250000068,500055,HOSPITAL ROYO VILLANOVA,AragÃ³n,Zaragoza,Zaragoza,AVENIDA SAN GREGORIO 30,50015,976466910,254,Hospitales Generales,Servicios e Institutos de Salud de Las Comunidades AutÃ³nomas,,Sin concierto,NO,"HOSPITAL ROYO VILLANOVA, Zaragoza, Zaragoza, España",41.6921134,-0.8610479,
250000069,500021,HOSPITAL UNIVERSITARIO MIGUEL SERVET,AragÃ³n,Zaragoza,Zaragoza,PASEO ISABEL LA CATOLICA 1-3,50009,976765500,1264,Hospitales Generales,Servicios e Institutos de Salud de Las Comunidades AutÃ³nomas,,Sin concierto,SI,"HOSPITAL UNIVERSITARIO MIGUEL SERVET, Zaragoza, Zaragoza, España",41.6345573,-0.899798,
250000070,500107,CENTRO NEUROPSIQUIATRICO NUESTRA SEÃORA DEL CARMEN,AragÃ³n,Zaragoza,Zaragoza,CAMINO ABEJAR 100,50190,976770635,268,Hospitales de salud mental y tratamiento de toxicomanÃ­as,Organizaciones No Gubernamentales,,Sin concierto,NO,"CENTRO NEUROPSIQUIATRICO NUESTRA SEÃORA DEL CARMEN, Zaragoza, Zaragoza, España",41.6300742,-0.9045935,
250000071,500016,HOSPITAL CLINICO UNIVERSITARIO LOZANO BLESA,AragÃ³n,Zaragoza,Zaragoza,CALLE SAN JUAN BOSCO 15,50009,976765700,803,Hospitales Generales,Servicios e Institutos de Salud de Las Comunidades AutÃ³nomas,,Sin concierto,SI,"HOSPITAL CLINICO UNIVERSITARIO LOZANO BLESA, Zaragoza, Zaragoza, España",41.6432629,-0.9034152,
